dateConsumed,mealsLogged
2015-04-30,4
2015-05-01,4
2015-05-02,4
2015-05-03,5
2015-05-04,6
2015-05-05,5
2015-05-06,5
2015-05-07,4
2015-05-08,3
2015-05-09,5
2015-05-10,3
2015-05-11,5
2015-05-12,5
2015-05-13,6
2015-05-14,6
2015-05-15,6
2015-05-16,5
2015-05-17,5
2015-05-18,5
2015-05-19,6
2015-05-20,6
2015-05-21,5
2015-05-22,5
2015-05-23,5
2015-05-24,6
2015-05-25,6
2015-05-26,6
2015-05-27,5
2015-05-28,6
2015-05-29,5
2015-05-30,5
2015-05-31,6
2015-06-01,5
2015-06-02,5
2015-06-03,6
2015-06-04,4
2015-06-05,5
